"IssuerID","State","Plan Type","Global_rate","S1_rate","S1D1_rate","S1D1C1_rate","S1D1C2_rate","S1D1C3_rate","S1D1C4_rate","S1D2_rate","S1D2C5_rate","S1D3_rate","S1D3C6_rate","S1D3C7_rate","S1D3C8_rate","S1D3C9_rate","S2_rate","S2D9_rate","S2D9C15_rate","S2D6_rate","S2D6C12_rate","S3_rate","S3D7_rate","S3D7C13_rate","S3D8_rate","S3D8C14_rate","S1D1C1M1_den","S1D1C1M1_rate","S1D1C2M2_den","S1D1C2M2_rate","S1D1C2M3_den","S1D1C2M3_rate","S1D1C2M4_den","S1D1C2M4_rate","S1D1C2M5_den","S1D1C2M5_rate","S1D1C3M6_den","S1D1C3M6_rate","S1D1C3M7_den","S1D1C3M7_rate","S1D1C3M8_den","S1D1C3M8_rate","S1D1C4M9_den","S1D1C4M9_rate","S1D1C4M10_den","S1D1C4M10_rate","S1D1C4M12_den","S1D1C4M12_rate","S1D1C4M13_den","S1D1C4M13_rate","S1D2C5M14_den","S1D2C5M14_rate","S1D2C5M15_den","S1D2C5M15_rate","S1D3C6M16_den","S1D3C6M16_rate","S1D3C6M17_den","S1D3C6M17_rate","S1D3C6M18_den","S1D3C6M18_rate","S1D3C7M19_den","S1D3C7M19_rate","S1D3C7M20_den","S1D3C7M20_rate","S1D3C8M21_den","S1D3C8M21_rate","S1D3C8M23_den","S1D3C8M23_rate","S1D3C8M24_den","S1D3C8M24_rate","S1D3C8M25_den","S1D3C8M25_rate","S1D3C9M26_den","S1D3C9M26_rate","S1D3C9M27_den","S1D3C9M27_rate","S1D3C9M47_den","S1D3C9M47_rate","S1D3C9M30_den","S1D3C9M30_rate","S1D3C9M31_den","S1D3C9M31_rate","S1D3C9M32_den","S1D3C9M32_rate","S2D9C15M33_den","S2D9C15M33_rate","S2D9C15M34_den","S2D9C15M34_rate","S2D6C12M36_den","S2D6C12M36_rate","S2D6C12M37_den","S2D6C12M37_rate","S2D6C12M38_den","S2D6C12M38_rate","S3D7C13M39_den","S3D7C13M39_rate","S3D7C13M40_den","S3D7C13M40_rate","S3D7C13M41_den","S3D7C13M41_rate","S3D7C13M42_den","S3D7C13M42_rate","S3D8C14M43_den","S3D8C14M43_rate","S3D8C14M44_den","S3D8C14M44_rate","S3D8C14M45_den","S3D8C14M45_rate"
10091,OR,PPO,3,3,3,2,2,3,3,4,4,4,3,4,3,2,3,3,3,4,4,4,3,3,4,4,50,0.46,112,0.5892857,8,0.75,3,0.8,119,0.197479,411,0.6618005,779,0.7548139,711,0.7088608,140,0.5428571,140,0.5714286,140,0.9214286,190,0.6789474,897,0.8316611,118,1.1102388,206,0.6553398,3213,0.4397759,405,0.545679,40,0.925,40,0.8,229,0.8689956,145,0.4758621,302,0.5331126,18,0.4335512,27,0.1851852,19,0.6315789,32,0.25,411,0.593674,16,0.4375,133,0.7142857,277,0.75617868,226,0.835519896,239,0.79490926,204,0.873933482,163,0.850333092,27,0.8148148,25,1,62,0.2580645,82,0.7926829,253,0.539360143,208,0.782759937,303,0.700491118
10207,VA,HMO,4,4,4,CSR-I,3,4,4,5,5,4,4,3,3,4,3,2,2,5,5,4,4,4,2,2,23,0.7826087,46,0.652174,18,0.3333333,.,NR,79,0.2594937,411,0.5888078,515,0.8213592,564,0.8156028,240,0.5,240,0.6375,240,0.9,220,0.8090909,673,0.8915305,83,1.2653423,135,0.7111111,411,0.7177616,348,0.6436782,72,0.625,72,0.8611111,411,0.8126521,65,0.2923077,148,0.6351351,25,0.6266667,624,0.5304487,21,0.7142857,7,0.1428571,411,0.6966748,20,0.95,176,0.9034091,148,0.722910855,129,0.794480444,128,0.815329961,118,0.899394571,96,0.887254901,18,0.8333333,39,1,34,0.3529412,55,0.8727273,144,0.496491934,123,0.634844154,158,0.737045003
10544,CA,EPO,2,1,3,CSR-I,2,3,3,2,2,2,1,2,1,2,3,2,2,3,3,5,4,4,4,4,19,0.5263158,137,0.6167883,26,0.3461538,.,NR,171,0.1812866,411,0.4403893,1208,0.7582781,1194,0.7336683,411,0.3041363,411,0.5036496,411,0.8953771,468,0.6987179,1181,0.7713802,74,0.5208442,108,0.5092593,411,0.4525547,411,0.3552311,78,0.6538462,78,0.7435897,354,0.6977401,279,0.4551971,225,0.3155556,29,0.4022989,1750,0.2114286,21,0.4285714,29,0.137931,411,0.6034063,8,0.5,342,0.7426901,187,0.712776844,128,0.830696718,153,0.755750044,116,0.866868069,91,0.819760677,22,0.8181818,32,1,68,0.3088235,132,0.8030303,200,0.525728001,187,0.781329393,234,0.706240297
11177,NY,HMO,3,3,3,1,3,3,4,5,5,4,4,2,4,CSR-I,2,2,2,2,2,2,3,3,1,1,44,0.3863636,69,0.7028986,19,0.5789474,.,NR,140,0.2285714,411,0.6253041,1776,0.7657658,1738,0.6973533,411,0.5717762,411,0.5888078,411,0.9367397,912,0.7368421,1643,0.9001826,159,0.659161,866,0.73903,411,0.6569343,411,0.6131387,39,0.6923077,39,0.6666667,411,0.892944,135,0.7407407,176,0.4431818,42,0.5797619,180,0.2388889,3,0.6666667,5,0,51,0.7254902,5,0.8,21,0.7142857,186,0.673591987,155,0.815205582,152,0.713945781,140,0.856621151,92,0.805811068,2,1,6,0.8333333,67,0.2537313,95,0.8210526,178,0.399488928,161,0.631405316,203,0.623566365
11269,WY,PPO,2,1,3,3,3,3,2,2,2,1,1,1,1,1,3,3,3,4,4,2,2,2,1,1,174,0.5862069,363,0.6267218,52,0.4230769,10,0.4722222,329,0.3161095,411,0.4671533,2247,0.8019582,1528,0.7827225,411,0.323601,411,0.2603406,411,0.8175182,746,0.7439678,2679,0.5942516,606,0.7104505,2508,0.5414673,7910,0.4385588,5172,0.3267595,187,0.3582888,187,0.2620321,9242,0.0914304,457,0.3435449,279,0.3942652,62,0.373545,2763,0.4592834,129,0.2015504,119,0.0420168,1646,0.0255164,132,0.6893939,632,0.4920886,237,0.769204049,186,0.8326775,201,0.775144083,167,0.869631621,112,0.862322006,160,0.675,194,0.7989691,256,0.2890625,360,0.7388889,226,0.426134013,180,0.628101762,283,0.695869635
11512,NC,POS,3,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,1625,0.5704615,3610,0.615651,685,0.3240876,122,0.3867346,2891,0.2582152,411,0.6958637,29197,0.7675789,24217,0.7221786,411,0.5182482,411,0.5985401,411,0.8905109,11116,0.7110471,36252,0.8878131,6015,0.7417731,12947,0.7251873,388,0.6469072,388,0.6262887,219,0.8356164,219,0.913242,219,0.8584475,5428,0.5038688,220,0.4681818,57,0.6124183,18890,0.3482266,207,0.8115942,411,0.2092457,395,0.7172996,565,0.7044248,3811,0.752296,209,0.722396256,165,0.852726909,163,0.76126951,154,0.871556186,91,0.842941605,993,0.9164149,1196,0.9406355,2365,0.3386892,4085,0.6548348,187,0.454079499,162,0.654298683,226,0.67744803
11512,NC,PPO,3,3,3,3,3,3,4,4,4,4,4,4,3,2,3,3,3,4,4,3,2,2,2,2,1602,0.588015,3309,0.5948927,678,0.3643068,91,0.4347134,2980,0.2808725,411,0.6374696,29631,0.7613985,23519,0.7146137,411,0.4987835,411,0.6107056,411,0.9221411,11015,0.7011348,37333,0.8788739,6437,0.7208401,15931,0.731718,395,0.6227848,398,0.638191,260,0.8384615,260,0.8884615,219,0.8767123,4686,0.4773794,235,0.4978723,64,0.4763558,13616,0.3037603,288,0.7708333,411,0.1849148,410,0.6861788,389,0.7120823,2723,0.7256702,227,0.764331165,202,0.819638147,200,0.794029778,189,0.875555136,124,0.853753718,973,0.9167523,977,0.8495394,3063,0.2438786,3682,0.6596958,198,0.469799998,149,0.672097879,242,0.715521992
13627,VT,EPO,4,3,4,3,4,4,4,3,3,4,4,5,3,3,3,3,3,3,3,3,4,4,2,2,504,0.5496032,679,0.7481591,78,0.6282051,25,0.4285715,566,0.2924029,411,0.6350365,5235,0.8683859,4372,0.8488106,384,0.5885417,384,0.6458333,384,0.890625,1243,0.8447305,6718,0.8072343,1028,0.833626,7283,0.7274475,342,0.754386,366,0.6912568,134,0.8432836,134,0.9850746,184,0.8641304,1448,0.5013812,294,0.4727891,54,0.5555555,5509,0.270648,173,0.8612717,288,0.2916667,305,0.820765,168,0.8214286,881,0.8331442,282,0.775286125,231,0.839251479,252,0.771418546,210,0.861754541,150,0.859313739,297,0.9292929,386,0.9792746,444,0.3400901,997,0.8575727,230,0.414946321,160,0.714678077,312,0.666474909
14630,WI,EPO,4,3,4,CSR-I,4,CSR-I,3,4,4,4,2,4,3,CSR-I,4,4,4,4,4,4,3,3,4,4,27,0.5555556,128,0.7382813,74,0.5945946,.,NR,289,0.3044983,411,0.5377129,.,NR,.,NR,411,0.3333333,411,0.5377129,411,0.9172749,.,NR,3770,0.8456233,104,0.9441979,0,0,411,0.4282238,411,0.4890511,64,0.765625,64,0.921875,411,0.8564477,369,0.398374,253,0.5335968,41,0.5365854,.,NB,8,0.875,21,0.1904762,411,0.7672344,3,1,276,0.807971,242,0.779747663,205,0.863475516,215,0.797131374,183,0.880122584,147,0.853028682,37,0.8648649,33,0.969697,49,0.2857143,153,0.6862745,212,0.522122477,179,0.752678627,265,0.715184238
15287,RI,POS,2,2,3,CSR-I,1,4,4,2,2,4,4,CSR-I,4,CSR-I,3,3,3,2,2,1,CSR-I,CSR-I,1,1,10,0.8,44,0.5,11,0.5454545,.,NR,47,0.1808511,250,0.76,253,0.7667984,242,0.7066116,82,0.597561,82,0.5731707,82,0.902439,65,0.7692308,251,0.7768924,63,1.1919468,199,0.7839196,629,0.6025437,411,0.6885645,6,0.5,6,1,411,0.9002433,35,0.5142857,134,0.5149254,45,0.6173401,37,0.1891892,1,1,2,1,36,0.8425926,4,0.75,7,0.7142857,134,0.745880201,119,0.822005704,115,0.709334153,106,0.865628901,70,0.836405761,5,1,9,1,22,0.2272727,25,0.76,116,0.436626251,96,0.653506709,142,0.604636891
15287,RI,PPO,3,3,4,2,4,4,4,4,4,5,4,4,4,4,3,3,3,2,2,2,3,3,1,1,105,0.4952381,182,0.5989011,35,0.6285714,10,0.3229167,195,0.3435898,411,0.7445255,1375,0.7941818,1318,0.7215478,411,0.6666667,411,0.6131387,411,0.9026764,378,0.7433862,1525,0.8360656,331,0.7974275,1526,0.793578,3812,0.7051417,411,0.7274939,60,0.8833333,60,0.9,411,0.8710462,304,0.6447368,168,0.577381,33,0.6182598,402,0.238806,42,0.7857143,80,0.425,411,0.8734793,26,0.9615385,188,0.8989362,162,0.781432455,150,0.818130482,139,0.726803964,127,0.836297486,111,0.837281874,74,0.9189189,80,0.9625,144,0.2847222,159,0.6855346,134,0.380622498,106,0.616197601,174,0.613983011
15560,MI,PPO,4,4,4,3,4,4,5,4,4,4,4,4,3,4,3,3,3,3,3,2,2,2,1,1,276,0.6123188,498,0.7208836,93,0.6774194,17,0.5591398,455,0.2461539,411,0.6399027,4167,0.8387329,3743,0.8030991,401,0.5610973,401,0.6608479,401,0.9276808,1277,0.7971809,5478,0.8483023,1134,0.6920631,4157,0.743084,388,0.6881443,392,0.630102,177,0.819209,177,0.8531073,184,0.9347826,703,0.5362731,314,0.4585987,73,0.551804,1264,0.8053797,107,0.7196262,154,0.2662338,371,0.8185086,75,0.88,626,0.8162939,294,0.764327279,246,0.843681972,256,0.74014533,227,0.871449148,152,0.86051076,195,0.825641,199,0.919598,335,0.2985075,436,0.7110092,237,0.391768023,188,0.630437426,317,0.622194413
16322,PA,EPO,3,3,4,3,3,4,4,4,4,4,3,4,4,3,3,3,3,3,3,4,3,3,3,3,324,0.5555556,941,0.6424017,136,0.5220588,.,NR,832,0.2115385,411,0.6545012,9130,0.8166484,7799,0.7642005,411,0.540146,411,0.6277372,411,0.919708,2890,0.7775087,11267,0.8262182,1596,0.6812778,6430,0.6567652,407,0.5577396,409,0.4963325,300,0.8133333,300,0.9033333,100,0.98,903,0.469546,320,0.509375,93,0.5597242,2962,0.049291,103,0.9126214,101,0.2871287,279,0.8136201,64,0.921875,544,0.8235294,292,0.756484737,260,0.818362006,263,0.761853913,233,0.858830491,169,0.847068814,147,0.952381,121,0.9504132,543,0.388582,731,0.745554,259,0.471985045,227,0.734634268,324,0.680176602
16322,PA,PPO,4,3,4,3,3,4,4,4,4,4,3,4,3,3,3,4,4,4,4,3,3,3,3,3,250,0.62,568,0.6505282,83,0.5783133,5,0.675,401,0.1845387,411,0.649635,5614,0.8311364,4747,0.7874447,401,0.5586035,401,0.6209476,401,0.915212,1763,0.7923993,7134,0.8180544,1105,0.7137941,4050,0.7125926,411,0.5815085,410,0.5073171,134,0.7835821,134,0.9179104,219,0.8858447,481,0.4137214,404,0.450495,122,0.5579839,1543,0.0563837,52,0.7692308,63,0.3174603,335,0.7870647,35,0.8571429,227,0.8722467,365,0.784654306,325,0.8416977,320,0.770690775,297,0.871700544,201,0.863003536,74,0.9189189,77,0.8571429,445,0.2988764,442,0.7941176,335,0.49431978,262,0.729791769,413,0.673351539
16842,FL,EPO,4,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,4,4,3,2,2,3,3,2371,0.5609447,7054,0.6343919,1869,0.2782236,132,0.4608547,8313,0.2199567,411,0.7469586,49276,0.766438,44376,0.7220795,411,0.4841849,411,0.6982968,411,0.9294404,16999,0.7225719,57451,0.8929174,13161,0.7611068,32977,0.6915729,403,0.6327543,398,0.5678392,354,0.8050847,354,0.9265537,147,0.9659864,8561,0.5294942,210,0.4380952,42,0.5507162,30452,0.0788126,305,0.7803279,411,0.2116788,380,0.7657895,698,0.7851003,4834,0.7842367,213,0.761163154,180,0.82974992,183,0.788293629,173,0.896618642,131,0.865290933,883,0.7791619,1942,0.8650875,5159,0.2331847,4427,0.7126722,184,0.540701058,160,0.677521357,221,0.749206385
18029,NY,POS,5,4,4,4,1,4,5,4,4,5,4,CSR-I,4,CSR-I,4,4,4,4,4,5,4,4,4,4,34,0.6764706,42,0.4880953,5,1,2,0,78,0.1538462,411,0.7201946,688,0.8575581,713,0.7924264,273,0.6703297,273,0.6739927,273,0.9487179,180,0.7722222,782,0.8657289,126,0.6647891,679,0.7982327,313,0.7252396,366,0.7213115,23,0.826087,23,0.9130435,172,0.9360465,78,0.474359,358,0.5335196,72,0.7198096,.,NB,5,0.8,6,0.1666667,113,0.9144543,5,1,24,0.875,322,0.819239993,287,0.850233242,282,0.791776735,262,0.875571789,199,0.855111095,16,0.9375,7,0.8571429,46,0.3695652,30,0.8333333,302,0.515399008,260,0.770813596,366,0.712463703
18126,CA,HMO,2,2,1,1,1,2,3,4,4,2,1,2,1,2,2,1,1,2,2,3,2,2,2,2,68,0.3823529,451,0.5077606,23,0.3043478,.,NR,419,0.1730311,411,0.5839416,4656,0.6533505,3894,0.5110426,411,0.513382,411,0.5815085,411,0.9002433,2332,0.5694683,3979,0.844182,696,0.5488945,3286,0.4738284,411,0.4233577,411,0.2725061,164,0.5853659,164,0.7317073,411,0.8564477,426,0.5164319,254,0.2874016,51,0.3398693,.,NB,20,0.45,62,0.2580645,411,0.6869424,19,0.2105263,188,0.5797872,212,0.675921658,165,0.782999113,147,0.757489715,155,0.834671611,84,0.848977763,36,0.4166667,78,0.8846154,263,0.3422053,300,0.7166667,208,0.488921213,203,0.6552719,264,0.711583709
18350,HI,HMO,2,3,3,CSR-I,CSR-I,3,3,4,4,4,3,CSR-I,3,CSR-I,2,1,1,3,3,3,CSR-I,CSR-I,2,2,2,1,15,0.4666667,0,0,.,NR,24,0.2708334,246,0.5813008,207,0.7294686,228,0.7192982,137,0.6423358,137,0.4963504,137,0.7956204,84,0.6428571,222,0.8333333,30,0.7096896,229,0.7554585,395,0.5594937,407,0.5257985,16,0.6875,16,0.75,260,0.7807692,36,0.4722222,124,0.5241935,25,0.4666667,.,NB,5,0.6,7,0,77,0.7272727,2,1,22,0.7272727,124,0.672610568,106,0.767730709,100,0.788159769,101,0.837485622,51,0.816806991,3,0.6666667,8,1,17,0.5294118,20,0.7,117,0.403671613,99,0.639561344,143,0.700904622
18350,HI,PPO,3,3,2,CSR-I,2,3,3,5,5,3,3,2,3,CSR-I,3,2,2,4,4,4,4,4,2,2,25,0.72,47,0.5851064,10,0.5,.,NR,85,0.1882353,411,0.5498783,689,0.6865022,715,0.6881119,411,0.6642336,411,0.4379562,411,0.8613139,331,0.6223565,696,0.8778736,108,0.5419173,726,0.7011019,403,0.5483871,411,0.5571776,39,0.4615385,39,0.7692308,240,0.7666667,94,0.6276596,219,0.4611872,25,0.54,.,NB,15,0.7333333,20,0.25,251,0.7941567,9,0.6666667,77,0.7142857,206,0.739448127,175,0.796686183,178,0.795036871,159,0.872757935,114,0.854396084,4,1,15,0.8666667,70,0.4142857,59,0.8305085,192,0.452126658,152,0.687806964,223,0.700995801
19636,LA,POS,3,3,3,3,2,3,3,4,4,4,3,3,2,3,4,4,4,5,5,3,1,1,3,3,285,0.5964912,899,0.5884316,229,0.3144105,26,0.3695652,920,0.2304348,411,0.5596107,12688,0.7763241,11147,0.7131067,411,0.406326,411,0.4963504,411,0.9367397,4938,0.6988659,15406,0.8610931,1820,0.6799489,5671,0.7206842,405,0.5802469,410,0.5121951,321,0.7476636,321,0.8535826,250,0.856,1307,0.4024484,238,0.3865546,47,0.3959297,4758,0.4821354,194,0.7680412,180,0.2055556,411,0.4931062,139,0.8489209,982,0.6283096,230,0.766423259,190,0.861420544,196,0.776795468,172,0.904349628,106,0.884514006,231,0.7965368,337,0.768546,793,0.2433796,914,0.6761488,209,0.540374268,174,0.698021483,248,0.706199451
19722,NM,HMO,2,2,2,2,3,2,2,4,4,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,120,0.4833333,320,0.5125,36,0.5,4,0.375,265,0.2415095,411,0.4671533,3386,0.7014176,2587,0.6084267,411,0.406326,411,0.5206813,411,0.8759124,1359,0.5651214,3280,0.8036585,310,0.6167693,1678,0.6317044,411,0.43309,411,0.3698297,101,0.5841584,101,0.8019802,411,0.7712895,319,0.4263323,396,0.4469697,104,0.4704015,.,NB,31,0.7741935,66,0.2424242,411,0.4752636,21,0.8095238,238,0.6848739,350,0.733886167,300,0.798093892,303,0.754623318,277,0.843569917,163,0.830525634,72,0.7638889,120,0.8583333,207,0.2222222,170,0.7941176,357,0.51453231,288,0.693960376,418,0.673946629
20069,TX,EPO,3,3,3,2,2,3,3,4,4,3,2,3,2,2,2,1,1,3,3,4,3,3,3,3,99,0.5050505,638,0.6402821,214,0.1682243,10,0.3833334,764,0.1943717,411,0.5985401,10036,0.7777999,8494,0.7068519,411,0.3673966,411,0.5206813,411,0.9318735,4880,0.7206967,10844,0.8834378,527,0.7079601,1758,0.6012514,411,0.4841849,411,0.4282238,270,0.6851852,270,0.8111111,147,0.877551,1551,0.4526112,228,0.4035088,49,0.5038265,6179,0.1432271,92,0.75,126,0.1666667,405,0.654321,45,0.4888889,1224,0.7156863,205,0.697112852,151,0.782761458,167,0.786141573,142,0.855873459,82,0.857867243,173,0.867052,190,0.9052632,501,0.3652695,700,0.7842857,222,0.509318405,186,0.740136948,244,0.716032307
20129,IL,HMO,3,3,4,4,3,4,3,3,3,4,3,3,2,3,4,4,4,4,4,3,2,2,4,4,155,0.6774194,384,0.6914063,46,0.4782609,.,NR,176,0.2414773,411,0.6545012,3275,0.8170992,2787,0.7595981,411,0.4306569,411,0.5912409,411,0.8759124,1232,0.7800325,4025,0.8037267,611,0.810768,1496,0.6524064,411,0.5279805,411,0.4695864,112,0.8214286,112,0.8125,196,0.9030612,295,0.3491525,248,0.4516129,93,0.483871,1509,0.3280318,58,0.8448276,62,0.2419355,395,0.7291139,46,0.8913043,304,0.7730263,224,0.778211587,192,0.879507858,201,0.771803813,176,0.873419051,114,0.861655162,123,0.8211382,110,0.8818182,189,0.2698413,239,0.7154812,206,0.557903875,169,0.743757002,259,0.681406205
20129,IL,POS,3,3,4,4,4,4,3,3,3,4,3,4,1,3,4,4,4,4,4,4,2,2,4,4,67,0.6865672,109,0.6559633,14,0.2857143,1,1,61,0.3196721,411,0.6301703,1196,0.8277592,979,0.7916241,411,0.4209246,411,0.5912409,411,0.8491484,370,0.7621622,1467,0.7982277,209,0.8256598,628,0.6799363,411,0.5231144,411,0.4939173,36,0.7777778,36,0.9166667,196,0.8622449,100,0.36,297,0.3737374,90,0.3811486,632,0.3924051,24,0.875,28,0.1071429,381,0.7007874,13,0.6153846,124,0.75,259,0.787429055,226,0.885452913,230,0.788781594,207,0.891560208,125,0.864662738,30,0.8666667,36,0.8611111,59,0.220339,77,0.7532468,225,0.53099982,173,0.784462596,295,0.673944674
20173,WI,PPO,4,3,4,CSR-I,CSR-I,4,3,4,4,4,4,CSR-I,2,CSR-I,4,4,4,4,4,3,CSR-I,CSR-I,2,2,3,0.6666667,32,0.765625,6,0.3333333,.,NR,24,0.1458334,182,0.6648352,280,0.8642857,226,0.8495575,83,0.4096386,83,0.6626506,83,0.7951807,78,0.8076923,326,0.8404908,42,0.8200485,43,0.8139535,411,0.5693431,324,0.6296296,8,0.75,8,1,411,0.9026764,45,0.4444444,275,0.3672727,30,0.2444444,.,NB,4,0.25,4,0,138,0.6618358,1,1,30,0.6333333,230,0.802049908,181,0.862443897,205,0.803364431,174,0.889090622,91,0.839608135,5,1,4,0.75,9,0.3333333,27,0.8148148,200,0.484605854,142,0.735149667,276,0.658707301
20507,VA,HMO,4,3,3,2,3,3,3,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,2,2,118,0.5,536,0.6464552,224,0.4107143,10,0.45,844,0.2517773,411,0.6374696,6939,0.6580199,6562,0.6103322,388,0.5128866,388,0.6365979,388,0.9072165,2788,0.5997131,8638,0.8903681,556,0.6596105,1249,0.714972,388,0.4845361,376,0.6941489,288,0.7708333,288,0.8506944,184,0.923913,1447,0.4844506,222,0.5,52,0.6625188,6317,0.1972455,83,0.7831325,83,0.2650602,410,0.6349594,41,0.8292683,1092,0.8415751,226,0.744271101,188,0.872545023,185,0.781691887,173,0.882975974,107,0.840783431,250,0.94,200,0.885,269,0.3011152,442,0.7352941,212,0.482946414,177,0.695279903,243,0.697560291
21032,CO,HMO,4,4,4,2,4,4,4,5,5,4,4,4,4,4,3,3,3,2,2,5,4,4,3,3,281,0.4697509,1004,0.7300797,96,0.6145833,13,0.6278196,504,0.2371032,2835,0.8243386,3616,0.7804204,3645,0.7506173,1964,0.5514257,1964,0.6415479,1964,0.9439919,1339,0.6878267,4996,0.8851081,751,0.5853944,5313,0.6798419,8191,0.7597363,14766,0.6466883,305,0.9311475,305,0.8557377,21281,0.9733565,1002,0.5628743,286,0.5524476,40,0.4981238,.,NB,146,0.7739726,245,0.4816327,3008,0.8071809,172,0.7616279,856,0.7920561,251,0.75748985,198,0.82269915,207,0.78102112,175,0.84654917,126,0.827938532,211,0.92891,272,0.9705882,118,0.6186441,467,0.764454,250,0.540534239,215,0.738639607,293,0.673350365
21663,FL,EPO,3,3,3,2,2,3,3,4,4,3,3,2,2,3,3,2,2,4,4,3,2,2,4,4,723,0.526971,2981,0.5660852,944,0.2733051,18,0.1911765,3712,0.1808998,411,0.676399,63004,0.7275252,52170,0.5910868,411,0.3333333,411,0.5693431,411,0.946472,25185,0.6972404,68488,0.9085533,4201,0.7625457,7497,0.7054822,411,0.540146,411,0.4817518,409,0.5281174,409,0.7530562,207,0.8985507,9924,0.6479242,217,0.2488479,48,0.4744385,200,0.215,128,0.7734375,359,0.2256267,313,0.8828541,85,0.6941176,2218,0.7605951,218,0.716267503,194,0.822366198,181,0.813236586,183,0.861861817,104,0.842688589,167,0.7125749,481,0.8773389,2276,0.2904218,3646,0.683763,213,0.522730197,211,0.707572002,233,0.774818247
22444,PA,HMO,4,4,4,4,3,4,4,4,4,4,3,4,3,2,3,3,3,4,4,3,4,4,2,2,245,0.7061224,669,0.6980568,128,0.46875,.,NR,574,0.2482579,411,0.6836983,8088,0.8423591,7502,0.7904559,548,0.4945255,548,0.6167883,548,0.9014599,2886,0.8031878,9156,0.8310398,1039,0.5465882,2760,0.709058,409,0.4987775,401,0.5411471,220,0.7818182,220,0.9227273,100,0.98,784,0.4540816,228,0.4429825,79,0.6116939,2594,0.1071704,43,0.744186,69,0.1449275,335,0.799005,27,0.8888889,435,0.7816092,199,0.747124565,175,0.828484174,169,0.769741951,172,0.895271554,100,0.852851393,112,0.9107143,87,0.9425287,318,0.4465409,560,0.7803571,187,0.477273828,157,0.674773247,226,0.660520667
23371,WA,EPO,5,4,4,3,4,4,5,5,5,5,4,5,4,4,3,2,2,4,4,5,CSR-I,CSR-I,4,4,39,0.5641026,121,0.7479339,5,0.4,.,NR,88,0.2443182,592,0.6841216,941,0.8150903,790,0.7860759,458,0.7445415,458,0.6768559,458,0.9454148,315,0.7492063,1236,0.9004854,99,0.3082931,801,0.7440699,3344,0.617823,1898,0.6986301,64,0.875,64,0.9375,2901,0.9524302,150,0.68,308,0.5097403,44,0.5938192,93,0.5053763,8,0.625,10,0.4,232,0.9339081,8,0.625,63,0.8412698,283,0.695325732,218,0.808560347,237,0.782604326,195,0.873128316,128,0.864581108,4,1,4,1,3,0.6666667,53,0.7735849,265,0.531572241,250,0.756551822,319,0.699588191
23603,MT,PPO,3,2,3,3,3,3,3,2,2,3,3,3,2,CSR-I,3,4,4,4,4,4,3,3,3,3,31,0.6129032,101,0.6138614,11,0.6363636,.,NR,76,0.2828947,411,0.5523114,956,0.7887029,762,0.7309711,155,0.4258065,155,0.4516129,155,0.8580645,213,0.7183099,1135,0.7779736,136,1.0904374,365,0.7068493,3476,0.4050633,411,0.5036496,97,0.7731959,97,0.6907216,398,0.7286432,153,0.4313725,351,0.4757835,57,0.4327485,0,0,25,0.36,20,0.1,411,0.4525548,19,0.7894737,155,0.7225806,306,0.793191658,252,0.849021783,271,0.78221651,232,0.872720875,153,0.853417527,30,0.9333333,36,0.8055556,64,0.203125,94,0.893617,262,0.535601468,205,0.755555492,357,0.687053333
25303,NY,HMO,3,3,5,4,4,5,3,4,4,4,3,3,4,3,2,2,2,2,2,3,3,3,1,1,440,0.6727273,562,0.7170819,174,0.5632184,6,0.35,872,0.293578,411,0.6569343,11494,0.9210023,11431,0.8816377,411,0.4087591,411,0.5206813,411,0.8880779,4105,0.8781973,12632,0.8593255,1450,0.7384988,6017,0.6576367,411,0.5425791,411,0.4744526,411,0.7201946,411,0.8515815,411,0.810219,1474,0.7591588,225,0.4177778,63,0.5995574,2339,0.2607952,46,0.673913,98,0.1836735,411,0.6934306,30,0.7,367,0.880109,216,0.720309993,180,0.796822885,185,0.726897544,171,0.841500176,119,0.826635255,153,0.9934641,129,0.9534884,643,0.2908243,647,0.7001546,199,0.442674197,166,0.657929473,237,0.626699305
26002,ID,PPO,3,2,3,2,3,3,3,4,4,4,3,4,2,2,3,3,3,4,4,3,2,2,3,3,133,0.5263158,483,0.6066253,57,0.3684211,10,0.0833334,249,0.2309237,411,0.5742092,1979,0.7690753,1608,0.7120647,411,0.540146,411,0.622871,411,0.9051095,839,0.6185936,2383,0.8153588,571,0.740112,1752,0.6558219,398,0.6356784,410,0.5853659,207,0.8019324,207,0.9323671,207,0.8937198,431,0.3317865,347,0.4495677,58,0.3766888,.,NB,124,0.6854839,142,0.2323944,411,0.512571,100,0.75,677,0.5790251,316,0.75527489,250,0.833848554,277,0.789224961,230,0.859298344,149,0.861667323,170,0.7647059,193,0.880829,186,0.2688172,341,0.797654,283,0.523992554,214,0.714854218,350,0.679654733
